rank,player,position,age,team,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
503,Jarace Walker,PF,20,IND,17,0,173,5.8,13.7,0.424,2.5,6.7,0.375,3.3,7.1,0.471,1.2,1.5,0.857,1.7,4.4,6,4.2,1.9,1.2,2.1,3.5,15.4
504,Lonnie Walker IV,SG,25,BRK,35,0,634,8.3,17.9,0.467,4.2,9.7,0.433,4.1,8.2,0.507,2,2.6,0.761,0.5,3.7,4.2,3,1.4,0.6,2,2.4,22.9
505,Cason Wallace,SG,20,OKC,56,9,1161,4.6,9,0.514,2.1,4.9,0.421,2.5,4.1,0.626,0.7,0.8,0.846,1.1,2.8,3.9,2.4,1.3,0.7,0.8,2.9,12
506,Jordan Walsh,SF,19,BOS,4,0,33,1.1,5.5,0.2,0,3.3,0,1.1,2.2,0.5,0,0,NA,2.2,9.8,12,2.2,2.2,1.1,2.2,5.5,2.2
507,P.J. Washington,PF,25,TOT,48,20,1405,6.2,14,0.443,2.1,6.7,0.317,4.1,7.3,0.56,1.8,2.6,0.696,1.5,5,6.5,2.7,1,0.9,1.8,3.1,16.3
508,TyTy Washington Jr.,PG,22,MIL,5,0,21,1.7,12,0.143,1.7,5.1,0.333,0,6.9,0,0,0,NA,0,1.7,1.7,1.7,3.4,0,3.4,0,5.1
509,Yuta Watanabe,SF,29,TOT,31,0,418,3.4,9.6,0.36,2.2,7.1,0.301,1.3,2.4,0.536,0.9,1.3,0.667,0.9,3.2,4.1,1,0.9,0.6,1.5,3,9.9
510,Lindy Waters III,SG,26,OKC,24,0,170,4.9,11,0.442,4.4,10.2,0.438,0.4,0.8,0.5,0,0,NA,0.2,4.7,4.9,2.5,0.2,0.8,0.8,3.6,14.2
511,Trendon Watford,PF,23,BRK,39,0,463,7.1,13,0.545,1,2.6,0.382,6.1,10.3,0.586,2.8,3.2,0.878,2.5,5.4,7.9,4.3,1.2,0.7,2,4.8,18
512,Peyton Watson,SF,21,DEN,55,4,1009,5.2,10.8,0.477,1.4,4,0.345,3.8,6.8,0.555,1.9,2.7,0.701,1.3,4.5,5.8,2,1.1,1.9,1.5,3.5,13.7
513,Victor Wembanyama,C,20,SAS,51,51,1454,9.5,20.5,0.466,2,6.3,0.318,7.5,14.2,0.531,5,6.1,0.814,2.7,10,12.8,4.2,1.6,4.1,4.3,2.7,26
514,Blake Wesley,SG,20,SAS,36,1,470,4.6,9,0.513,0.3,2.1,0.143,4.3,6.8,0.629,1.9,3.2,0.595,0.8,2.5,3.3,7.1,1.5,0.3,2.2,4.2,11.4
515,Russell Westbrook,PG,35,LAC,55,10,1266,7.1,15.6,0.455,1.1,3.8,0.276,6,11.7,0.513,2.4,3.6,0.661,2.2,6,8.2,7.1,1.7,0.6,3.3,2.7,17.6
516,Coby White,PG,23,CHI,56,56,2031,6.9,15,0.461,2.9,7.2,0.399,4.1,7.9,0.518,2.7,3.3,0.828,0.5,4.1,4.6,5.2,0.7,0.2,2.2,2.3,19.4
517,Derrick White,SG,29,BOS,52,52,1679,6.1,13.1,0.466,3,7.6,0.399,3.1,5.5,0.558,2.4,2.7,0.895,0.7,3.6,4.3,5.3,1.1,1.3,1.8,2.4,17.6
518,Cam Whitmore,SF,19,HOU,30,1,521,9.1,19.1,0.477,3.6,9.3,0.388,5.5,9.9,0.559,3.2,4.8,0.657,1.4,6.1,7.5,1,1.2,0.6,1.9,2.7,25
519,Aaron Wiggins,SG,25,OKC,53,0,760,6.2,10.5,0.586,2.1,4,0.524,4.1,6.5,0.623,1.5,1.9,0.775,1.8,4.1,5.9,2.3,1.3,0.3,1.6,3,15.9
520,Andrew Wiggins,SF,28,GSW,50,39,1357,6.5,14.2,0.454,1.5,4.4,0.348,5,9.9,0.501,2.4,3.3,0.722,2.1,3.6,5.7,2.2,0.8,0.7,1.7,2.9,16.9
521,Lindell Wigginton,PG,25,MIL,3,0,8,9,22.5,0.4,0,9,0,9,13.5,0.667,9,9,1,0,0,0,0,0,0,4.5,4.5,27
522,Alondes Williams,SG,24,MIA,1,0,6,0,6,0,0,6,0,0,0,NA,0,0,NA,0,6,6,0,0,0,6,0,0
523,Brandon Williams,PG,24,DAL,12,0,59,4.9,13.4,0.364,1.2,3.7,0.333,3.7,9.8,0.375,3.7,6.7,0.545,1.8,2.4,4.3,7.3,0.6,0.6,1.8,1.2,14.6
524,Grant Williams,PF,25,TOT,52,33,1386,4.2,9.8,0.424,2.4,6.3,0.379,1.8,3.5,0.507,1.4,1.8,0.786,1.4,3.7,5,2.3,0.7,0.7,1.5,3.8,12.1
525,Jalen Williams,PF,22,OKC,50,50,1594,8.4,15.4,0.545,1.7,3.7,0.455,6.7,11.7,0.574,3,3.7,0.799,0.6,4,4.5,5.2,1.1,0.6,2,3,21.5
526,Jaylin Williams,C,21,OKC,47,0,585,3.6,9.4,0.386,2.2,6,0.357,1.5,3.4,0.436,1.4,1.7,0.815,1.5,7.8,9.3,3.9,1.2,1,1.2,4.1,10.8
527,Jeenathan Williams,SG,24,HOU,11,0,76,6.6,14.2,0.467,0.5,1.4,0.333,6.2,12.8,0.481,1.9,3.3,0.571,3.8,0.9,4.7,2.8,0.9,0,0.9,4.3,15.6
528,Kenrich Williams,PF,29,OKC,45,1,672,4.4,9.5,0.463,2.1,5.1,0.411,2.3,4.4,0.524,0.2,0.5,0.3,1.8,5,6.8,3,1.3,0.3,0.9,3.5,11
529,Mark Williams,C,22,CHO,19,19,508,6.9,10.7,0.649,0,0,NA,6.9,10.7,0.649,3.3,4.5,0.719,5.4,7.7,13,1.6,1.1,1.4,1.2,3.5,17.1
530,Patrick Williams,PF,22,CHI,43,30,1174,4.9,11,0.443,1.8,4.5,0.399,3.1,6.5,0.474,1.6,2,0.788,1.4,3.7,5.1,2,1.2,1,1.7,2.7,13.2
531,Robert Williams,C,26,POR,6,0,119,5.1,7.9,0.654,0,0,NA,5.1,7.9,0.654,2.1,2.7,0.778,3.3,8.2,11.5,1.5,2.1,2.1,2.1,5.1,12.4
532,Vince Williams Jr.,SG,23,MEM,45,26,1207,4.1,9.2,0.448,2,5.5,0.366,2.1,3.8,0.567,2.6,3.2,0.815,1.6,6,7.6,4.1,1.2,0.8,2,3.4,12.9
533,Ziaire Williams,SF,22,MEM,47,11,917,5.3,13.2,0.402,2.1,6.7,0.318,3.2,6.5,0.488,2.2,2.7,0.812,1.3,5,6.2,2.8,1.3,0.4,2.3,3.1,14.9
534,Zion Williamson,PF,23,NOP,46,46,1414,10.4,17.9,0.58,0.1,0.3,0.364,10.3,17.6,0.583,5.5,8,0.688,2.1,4.4,6.5,5.8,1.1,0.6,2.9,2.7,26.4
